how's your mother?	hur mår din mor?
did you go to school today?	gick du i skolan i dag?
a bird shat on my aunt's car.	en fågel sket på min mosters bil.
do you prefer lobster or crab?	föredrar du hummer eller krabba?
i would like to ask about the price of that model in the window.	jag skulle vilja fråga om priset på den där modellen där i fönstret.
tom's not in.	tom är inte här.
have some.	ta lite.
the gloves fit like a mould.	handskarna sitter som gjutna.
how is mary?	hur mår mary?
she gave me these old coins.	hon gav mig de här gamla mynten.
words cannot describe the beauty.	ord kan inte beskriva skönheten.
if you don't want to sing, you don't have to.	vill du inte sjunga, behöver du inte det.
have you heard from tom?	har du hört från tom?
he is fluent in french.	han talar flytande franska.
she can write.	hon kan skriva.
the price is not reasonable.	priset är inte rimligt.
you are late.	du är sen.
these shoes are too expensive.	dessa skorna är för dyra.
are you threatening me?	hotar ni mig?
i'm furious.	jag är ursinnig.
the newspaper said another war broke out in africa.	det stod i tidningen att ännu ett krig har brutit ut i afrika.
has anybody seen my dog?	har någon sett min hund?
i saw some bodies.	jag såg några kroppar.
now get in.	kom in nu.
for sale.	till salu.
she has a heart of gold.	hon har ett hjärta av guld.
i don't have any books to read.	jag har inga böcker att läsa.
what page are you on?	vilken sida är du på?
our new neighbour is always there whenever we need help with anything.	vår nya granne finns alltid till hands om vi behöver hjälp med någonting.
the big boulder is gone.	den stora klippan är borta.
hey, what are you doing?	hallå, vad gör du?
tom ate an early supper.	tom åt en tidig middag.
the store is open all the year round.	affären är öppen året runt.
where's your luggage?	var är ert bagage?
this glass of beer is almost bigger than you.	ölglaset är nästan större än dig.
i saw you-know-who at the market today.	jag såg du-vet-vem i dag på torget.
i want to live in the city.	jag vill bo i staden.
my father is sweeping the garage.	min pappa sopar garaget.
he seems kind.	han verkar snäll.
i saved your life.	jag räddade ditt liv.
history repeats itself.	historien upprepar sig.
mary's boyfriend's name is tom.	marys pojkvän heter tom.
i think you're cool.	jag tycker att du är cool.
i had a hard day.	jag har haft en tung dag.
i will always love you.	jag kommer alltid att älska er.
can i ask what this is about?	får jag fråga vad detta handlar om?
what came first: the egg or the chicken?	vad kom först: ägget eller hönan?
you have the wrong number.	du har fel nummer.
one, three, and five are odd numbers.	ett, tre och fem är udda tal.
i practice sports.	jag utövar sport.
that isn't how it happened.	det var inte det som hände.
what is this for?	vad är det här för?
that's where i'll be.	det är där jag kommer att vara.
tom told mary about john.	tom berättade för mary om john.
do you do a lot of traveling?	reser ni mycket?
tom has braces.	tom har tandställning.
i don't know what it is.	jag vet inte vad det är.
a guy nearly ran into us.	en kille sprang nästan in i oss.
didn't you sing?	sjöng du inte?
she will make it.	hon kommer att klara det.
you have to go now.	du måste gå nu.
you're absolutely right.	du har helt rätt.
i should've listened to your advice.	jag borde ha lyssnat på ditt råd.
fadil wanted to move on.	fadil ville gå vidare.
where's my phone?	var är min telefon?
could you tell me the way to madame tussaud's?	skulle ni kunna förklara vägen till madame tussaud?
dust off the shelf.	damma av hyllan.
tom is a very capable businessman.	tom är en mycket kapabel affärsman.
do you think this will happen again?	tror du att det här kommer hända igen?
i am going to get off at the next stop.	jag kommer att gå av vid nästa hållplats.
tom prefers decaffeinated coffee.	tom föredrar koffeinfritt kaffe.
do they work here?	jobbar de här?
i did a good job.	jag gjorde ett bra jobb.
would you please lock the door?	kan du låsa dörren är du snäll?
now give me the keys.	ge mig nycklarna nu.
when's tom due back?	när ska tom vara tillbaka?
the leaf decomposed.	lövet förmultnade.
i thought i understood you.	jag trodde att jag förstod dig.
did you buy corn?	köpte du majs?
everything is available.	allt är tillgängligt.
where is the bedroom?	var är sovrummet?
tom is an orphan.	tom är föräldralös.
get in the car.	sätt dig i bilen.
excuse me, can you lower your voice a little bit?	ursäkta, kan du sänka rösten lite?
i've written down all the numbers up to thirty-one.	jag har skrivit ned alla siffror upp till trettioett.
we are out of milk!	vi har slut på mjölk!
i'm not your mother.	jag är inte din mamma.
i miss all this.	jag saknar allt det här.
i've seen this image before.	jag har sett denna bild förut.
how many sisters do you have?	hur många systrar har ni?
it's my cd.	det är min cd.
please confirm the cancellation by e-mail.	var god och bekräfta annulleringen via e-post.
your analysis is correct.	din analys är korrekt.
i was never brave.	jag har aldrig varit modig.
i sing.	jag sjunger.
i want a raccoon.	jag vill ha en tvättbjörn.
sami was rescued by the police.	sami räddades av polisen.
tom has less money than his brother.	tom har mindre pengar än sin bror.
they shook hands.	de tog i hand.
i hate beer.	jag hatar öl.
who took care of the dog while you were away?	vem tog hand om hunden medan ni var borta?
this weekend i want to get loose.	till helgen ska jag försöka slå mig lös.
i was naive.	jag var naiv.
i know tom knows we've never done that before.	jag vet att tom vet att vi aldrig har gjort det förut.
the teacher hated my guts.	läraren hatade mig innerligt.
they're a good singer.	hen kan sjunga bra.
since the bus was late i came home after seven p.m.	eftersom bussen var sen kom jag hem efter klockan nitton.
you can stay in here.	du kan stanna här inne.
what is the price of this radio?	vad kostar den här radion?
is tom feeling bad?	mår tom dåligt?
forget tom.	glöm tom.
i thought it'd be worth it.	jag tänkte att det skulle vara värt det.
you can't buy respect.	du kan inte köpa respekt.
i want to learn standard english.	jag vill lära mig standardengelska.
what do i tell tom?	vad säger jag till tom?
my wife and i agreed on a holiday plan.	min fru och jag kom överens om en semesterplan.
what is your astrological sign?	vad är ditt stjärntecken?
it may rain soon.	det kanske blir regn snart.
tom sharpened a pencil.	tom vässade en blyertspenna.
i'd really like to talk to you.	jag skulle verkligen vilja prata med dig.
i eat breakfast at eight o'clock.	jag äter frukost klockan åtta.
my grandfather is 90 years old and very healthy.	min farfar är 90 år gammal och mycket frisk.
it's easy to find friends; it's harder to keep them.	det är lätt att finna vänner; det är svårare att behålla dem.
she's about the same age as me.	hon är ungefär i min ålder.
you should wear a jacket.	du borde ha på dig en jacka.
why did you go away?	varför åkte du iväg?
my grandma doesn't have the internet.	min mormor har inte internet.
cows live on grass.	kor lever på gräs.
tom said he called the police.	tom sa att han ringde polisen.
what the hell are you doing here?	vad fan gör du här?
tom didn't give up.	tom gav inte upp.
what am i doing in this mess?	vad har jag i den här röran att göra?
unfortunately, my neighbor had a traffic accident and fell into a coma.	olyckligtvis var min granne med om en trafikolycka och hamnade i koma.
we would have helped, if you had asked.	vi skulle ha hjälpt till, om ni hade bett om det.
i can explain that.	det kan jag förklara.
thank you!	tack!
this is a weird sentence.	det här är ett konstigt domslut.
how's school?	hur går det i skolan?
i shouldn't be here.	jag borde inte vara här.
he has gone too far.	han har gått för långt.
she's not just friendly but also generous.	hon är inte bara vänlig utan även generös.
check that.	kolla det där.
tom denied having beaten his girlfriend.	tom nekade till att ha slagit sin flickvän.
i'll visit you someday.	jag hälsar på dig någon gång.
i cried three times that day.	jag grät tre gånger den dagen.
he likes watching tv.	han tycker om att se på tv.
i tried to act appropriately.	jag försökte bete mig på ett lämpligt sätt.
i want it all.	jag vill ha alltsamman.
tom is very generous.	tom är mycket generös.
i have asthma.	jag har astma.
tom hung up the phone.	tom la på telefonen.
the closet door won't open.	jag får inte upp skåpdörren.
i let the opportunity pass.	jag lät tillfället gå mig ur händerna.
try!	försök!
we are going to die.	vi kommer att dö.
she won!	hon vann!
do not criticize anybody!	kritisera inte någon!
do you like our wedding cake?	gillar ni vår bröllopstårta?
where do you buy bus tickets?	var kan man köpa bussbiljetter?
you're wanted on the telephone.	du har telefon.
that article was written in english.	artikeln var skriven på engelska.
i'll do it.	jag gör det.
go get some sleep.	gå och sov en stund.
koko continued to learn fast.	koko fortsatte att lära sig fort.
i asked for tom.	jag frågade efter tom.
don't tell lies.	far inte med osanning.
you're still not well.	du är fortfarande inte bra.
germany borders on france.	tyskland gränsar till frankrike.
he is utterly insane.	han är komplett galen.
he's tactful.	han är taktfull.
i don't feel like going out tonight.	jag känner inte för att gå ut i kväll.
don't i get a hug?	får jag inte en kram?
he said that he was nervous.	han sade att han var nervös.
why did you say yes?	varför sa du ja?
do you know if grace is at home?	vet du om grace är hemma?
what is his problem?	vad har han för problem?
tom is chubby.	tom är knubbig.
are you crying?	gråter du?
i'm sorry that i can't make you happy.	förlåt att jag inte kan göra dig lycklig.
some people like coffee and others prefer tea.	vissa gillar kaffe och andra gillar te.
we saw something white in the dark.	vi såg något vitt i mörkret.
we can end it.	vi kan få ett slut på det.
quieter!	tystare!
if you read this sentence, you will become blind.	om du läser den här meningen blir du blind.
how many siblings does she have?	hur många syskon har hon?
he gave her a bar of chocolate.	han gav henne en chokladkaka.
it's on your desk.	den ligger på ert skrivbord.
i like saturdays.	jag gillar lördagar.
shouldn't you wear gloves?	borde du inte använda handskar?
the burglars broke into his house.	tjuvarna bröt sig in i hans hus.
what a relief!	vilken lättnad!
it's lunch time.	det är lunchdags.
what a beautiful ring!	vilken vacker ring!
who is your enemy?	vem är din fiende?
stay put.	sitt kvar.
sami's kitchen was always disgusting.	samis kök var alltid vidrigt.
tom didn't allow me to enter his room.	tom lät mig inte gå in i hans rum.
did you use it?	använde du den?
poor crops may cause famine.	dåliga skördar kan orsaka hungersnöd.
we're a little behind.	vi ligger lite efter.
she studies mathematics.	hon studerar matematik.
i have never fallen in love with any girl.	jag har aldrig blivit kär i någon tjej.
the police caught up with him.	polisen hann ifatt honom.
hello! good morning!	hej! god morgon!
call the coast guard.	kalla på kustbevakningen.
where are you guys now?	var är ni nu?
how do they feel?	hur känner de sig?
i'm satisfied with everything.	jag är nöjd med allt.
she had gone to bed.	hon har gått och lagt sig.
i want a refund.	jag vill ha pengarna tillbaka.
i have to go now.	jag måste ge mig av nu.
did you push it?	tryckte du på den?
she really likes going to the movies.	hon tycker mycket om att gå på bio.
i thought you'd like it.	jag trodde att ni skulle tycka om det.
is the hotel far from here?	är det långt till hotellet härifrån?
i'm coming in july.	jag kommer i juli.
did anything happen to her?	har det hänt något med henne?
did you find them?	hittade ni dem?
i won't need you.	jag kommer inte att behöva dig.
the dog scared the cat.	hunden skrämde katten.
i need a box of eggs.	jag behöver en låda ägg.
get in the truck.	sätt dig i lastbilen.
david remained on the platform while the train was in sight.	david stod kvar på plattformen medan tåget var i sikte.
they got married on new year's eve.	de gifte sig på nyårsafton.
are you guys close?	känner ni varandra väl?
i know i'm safe.	jag vet att jag är säker.
chinese philosophy is the best.	kinesisk filosofi är bäst.
ziri snuck inside the cave.	ziri smög in i grottan.
they're working upstairs.	de jobbar på övervåningen.
what do i get in return?	vad får jag i gengäld?
the next morning he found a handwritten letter in the letterbox.	morgonen därpå fann han ett handskrivet brev i brevlådan.
i'm really lonely.	jag är verkligen ensam.
whether you will succeed or not depends upon your own exertions.	vare sig du lyckas eller inte beror på dina egna ansträngningar.
hopefully the world will not be affected by bubonic plague again.	förhoppningsvis kommer världen inte drabbas av böldpest igen.
once isn't enough.	en gång räcker inte.
do you have a solution?	har du någon lösning?
sami and layla are newly married.	sami och layla är nyligen gifta.
shouldn't we go now?	borde inte vi gå nu?
butterflies are pretty.	fjärilar är vackra.
take a sip of this.	ta en smutt av det här.
dan and linda eventually moved to london.	dan och linda flyttade så småningom till london.
do you want to do it again?	vill du göra det igen?
we can't prove tom is lying, but we're pretty sure he is.	vi kan inte bevisa att tom ljuger, men vi är ganska säkra på att han gör det.
how about a cup of tea?	vad sägs om en kopp te?
only love can break your heart.	bara kärlek kan krossa hjärtat.
better late than never.	bättre sent än aldrig.
i was kicked in the back.	jag fick en spark i baken.
the living call for me, the dead weep for me, the thunderbolts break me.	de levande kallar jag, de döda begråter jag, åskviggarna bryter jag.
tom winked.	tom blinkade.
you're adorable.	ni är bedårande.
tom was the last to die.	tom var den siste som dog.
i'm not sure if this is correct.	jag är inte säker på om det här är rätt.
don't bite off more than you can chew.	den som gapar efter mycket mister ofta hela stycket.
they are right.	de har rätt.
where's the rest of the money?	var är resten av pengarna?
we drank some wine.	vi drack lite vin.
he felt tired.	han kände sig trött.
i speak bosnian.	jag talar bosniska.
it's too loud.	det är för högljutt.
were you happy?	var ni lyckliga?
it's a family tradition.	det är en tradition i familjen.
sami threatened layla with a knife.	sami hotade layla med en kniv.
i just opened it.	jag öppnade den precis.
do you need it now?	behöver ni den nu?
tom tried to make mary laugh.	tom försökte få mary att skratta.
i don't see why it's such a big deal.	jag förstår inte varför det är en så stor grej.
he gets up at seven.	han stiger upp klockan sju.
we've walked all around the lake.	vi har gått runt hela sjön.
we loved wine.	vi älskade vin.
can you name one of their songs?	kan du säga namnet på en av deras låtar?
give us a chance.	ge oss en chans.
there are many rivers in india.	det finns många floder i indien.
he said: "may god help us".	han sa: "må gud hjälpa oss".
tom seemed lost.	tom verkade vilse.
that's an old wives' tale.	det är käringprat.
i'm not proud of you.	jag är inte stolt över dig.
this chair is made of plastic.	den här stolen är gjord av plast.
thanks for coming, guys! i'll see you next class!	tack för att ni kom, allihopa! vi ses nästa lektion!
it wasn't until tom left me that i realized how much i loved him.	det var inte förrän tom lämnade mig som jag insåg hur mycket jag älskade honom.
the teachers are teaching again. the strike is over.	lärarna undervisar igen. strejken är över.
can one see the difference?	kan man se skillnaden?
i would like to have another cup of coffee.	jag skulle vilja ha en till kopp kaffe.
it's probably just a rumor.	det är antagligen bara ett rykte.
greeks often eat fish, too.	grekerna äter också ofta fisk.
it's a difficult word to pronounce.	det är ett svårt ord att uttala.
please listen carefully.	lyssna noga är du snäll.
they said no.	de sade nej.
where do you live?	var bor du?
she ignored me.	hon ignorerade mig.
tom wasn't contributing.	tom bidrog inte.
where in the u.s.a. is there a swedish embassy?	var finns det en svensk ambassad i usa?
we must pay taxes.	vi måste betala skatt.
i feel vulnerable.	jag känner mig sårbar.
i'm going to do that on monday.	jag ska göra det på måndag.
i need chalk.	jag behöver krita.
let's let tom do it.	vi låter tom göra det.
do you have a fever?	har du feber?
i wrote her name down so i wouldn't forget it.	jag skrev ner hennes namn så att jag inte skulle glömma det.
how did you break it?	hur bröt du den?
this method is slow but sure.	den här metoden är långsam men säker.
i've never needed it.	jag har aldrig behövt den.
these pancakes taste good.	de här pannkakorna smakar gott.
read it again and again.	läs den om och om igen.
he grows rice.	han odlar ris.
she burned her hand.	hon brände handen.
i never liked it.	jag tyckte aldrig om den.
a mr. itoh wants to see you.	en herr itoh vill träffa dig.
do it quietly.	gör det tyst.
are you waiting for them?	väntar du på dem?
how hot is it?	hur varm är den?
why am i not surprised by that?	varför förvånas jag inte över det?
a bat is not a bird, but a mammal.	fladdermusen är inte en fågel, utan ett däggdjur.
we need paper.	vi behöver papper.
he skis in hokkaido every winter.	han åker skidor i hokkaido varje vinter.
tom is popular.	tom är omtyckt.
is that healthy?	är det hälsosamt?
i'm just looking around.	jag ser mig bara omkring.
mary came in.	mary kom in.
is your car fast?	är din bil snabb?
no clouds were in the sky.	det fanns inte ett moln på himlen.
my body aches all over.	jag har ont i hela kroppen.
tom wasn't wearing pajamas.	tom hade inte någon pyjamas på sig.
go and look for tom.	gå och sök efter tom.
she told me that she wanted to go.	hon sa till mig att hon ville gå.
i protest!	jag protesterar!
it isn't a game.	det är inte en lek.
i like cats more than dogs.	jag tycker mer om katter än hundar.
i give part of my paycheck to my parents to help them pay the bills.	jag ger en del av min lön till mina föräldrar för att hjälpa dem att betala räkningarna.
i bought a sandwich.	jag köpte en dubbelmacka.
i cleaned the windows in the spring but they're dirty again.	jag hade tvättat fönstren på våren men nu är de smutsiga igen.
did tom shut the door?	stängde tom dörren?
do you recognize him?	känner du igen honom?
the projector doesn't work.	projektorn fungerar inte.
our dog ran away.	vår hund sprang iväg.
you talked to them, right?	du har pratat med dem, eller hur?
i picked tom up at the station.	jag hämtade tom på stationen.
we are waiting for you.	vi väntar på dig.
i like to be prepared.	jag gillar att vara förberedd.
never talk to strangers.	tala aldrig med främlingar.
sami stole a bottle of wine from the restaurant.	sami stal en flaska vin från restaurangen.
wait till six.	vänta tills sex.
thank you, jesus.	tack, jesus.
she really wants to go.	hon vill verkligen gå.
you can't kill yourself by holding your breath.	du kan inte döda dig själv genom att hålla andan.
i think it's real nice.	jag tycker att det är riktigt trevligt.
am i supposed to believe that?	ska jag tro på det?
after a month or two, you won't remember such minor details.	efter en månad eller två kommer du inte att komma ihåg sådana små detaljer.
do tourists visit towers?	brukar turister besöka torn?
do you like cities?	tycker du om städer?
he broke his leg.	han bröt benet.
aisling has beautiful eyes.	aisling har vackra ögon.
can i help?	får jag hjälpa?
it was not until then that he learned the truth.	inte förrän då fick han reda på sanningen.
you helped tom, didn't you?	du hjälpte tom, eller hur?
time ran out.	tiden löpte ut.
it's a pretty big club.	det är en rätt stor klubb.
it's not a bribe.	det är inte en muta.
i feel very cold.	jag känner mig väldigt kall.
they'll be looking for help.	de kommer att leta efter hjälp.
my mother was norwegian, and my father was danish. it was not till i was five that i learned that they spoke two separate languages.	min mor var norska och min far var dansk. det var inte förrän jag var fem som jag förstod att de talade två olika språk.
i think tom is looking for his keys.	jag tror tom letar efter sina nycklar.
tom hopes to see you in october.	tom hoppas att se dig i oktober.
they will follow her.	de kommer att följa henne.
it's still damp.	det är fortfarande fuktigt.
tom is our new teacher.	tom är vår nya lärare.
you're too late. everything's been sold.	du är för sent ute. allt är slutsålt.
just then the phone rang.	just då ringde telefonen.
how bad could it be?	hur illa kan det vara?
mary is bisexual.	mary är bisexuell.
tom showed me a better way to do that.	tom visade mig ett bättre sätt att göra det där.
we never saw tom.	vi såg aldrig tom.
he's sweating.	han svettas.
it was a very stupid decision.	det var ett väldigt dumt beslut.
that's a nice word.	det där är ett fint ord.
our destiny depends on our decisions.	vårt öde är avhängigt våra beslut.
the army had to retreat.	armén var tvugna att reterera.
yanni lay down in bed again.	yanni lade sig i sängen igen.
corporal punishment is forbidden in sweden.	barnaga är förbjudet i sverige.
honey, are you ok?	älskling, är du okej?
i climbed a tree.	jag klättrade upp i ett träd.
emily is my best friend.	emily är min bästa vän.
sometimes he can be a strange guy.	ibland kan han vara en konstig kille.
i hope you like being here.	jag hoppas att ni tycker om att vara här.
we didn't see anything.	vi har inte sett nånting.
will tom be here today?	kommer tom att vara här idag?
françois, is this yours?	françois, är detta ditt?
i have a contract.	jag har ett kontrakt.
i promise i'll come.	jag lovar att jag kommer.
tom is absent.	tom saknas.
tom was robbed.	tom blev rånad.
i don't have anything to write with.	jag har inget att skriva med.
does it hurt much?	gör det väldigt ont?
can we do something?	kan vi göra någonting?
this grass needs cutting.	det här gräset behöver klippas.
why hasn't anyone said anything?	varför har ingen sagt någonting?
has he had lunch?	har han ätit lunch?
what airline?	vilket flygbolag?
how did you survive?	hur överlevde du?
i have plenty of time, so i can sleep for a while?	jag har gott om tid, så kan jag sova en stund?
half of the apples are rotten.	hälften av äpplena är ruttna.
i didn't want to spend any more time working on that project.	jag ville inte spendera mer tid på att arbeta med det där projektet.
it cost nothing.	det kostade ingenting.
i'm the happiest man in the world.	jag är världens lyckligaste man.
what is the file extension?	vad är det för filtillägg?
not really.	egentligen inte.
i choose you.	jag väljer dig.
come on, get up. you're going to be late for school.	kom igen, stig upp. du kommer bli försenad till skolan.
i will teach you how to play chess.	jag ska lära dig hur man spelar schack.
do you suspect me?	misstänker ni mig?
tom is unfaithful.	tom är otrogen.
i don't blame you a bit.	jag klandrar dig inte det minsta.
your education is important.	din utbildning är viktig.
what did you steal?	vad stal du?
sometimes, i impress myself.	ibland imponerar jag på mig själv.
is she beautiful?	är hon vacker?
it's not your problem.	det är inte ditt problem.
tom likes reality tv.	tom tycker om reality-tv.
i thought it'd be worth it.	jag trodde att det skulle vara värt det.
where is paris?	var ligger paris?
what's your native language?	vad är ert modersmål?
judith's german accent is beautiful.	judits tyska uttal är vackert.
i want a massage. i need to relax.	jag vill ha en massage. jag behöver slappna av.
you're an idiot.	du är en idiot.
it's unfortunately true.	tyvärr är det sant.
lend me your bicycle.	låna mig din cykel.
she has pretty eyes.	hon har vackra ögon.
how many times have you moved?	hur många gånger har du flyttat?
i thought you'd like it.	jag trodde att ni skulle gilla den.
what did tom reply?	vad svarade tom?
before she moved to france, she lived in sweden.	innan hon flyttade till frankrike bodde hon i sverige.
we didn't see any girls in the group.	vi såg inga flickor i gruppen.
there are many galaxies in the universe.	det finns många galaxer i universum.
tom and mary live in a small house.	tom och mary bor i ett litet hus.
i saw him again.	jag såg honom igen.
i thought everyone knew.	jag trodde att alla visste.
do you deliver on sundays?	levererar ni på söndagar?
tom's sister teaches maria russian.	toms syster lär maria ryska.
this seems like harassment.	det här liknar trakasseri.
thanks for the information.	tack för informationen.
of course.	självklart.
they won't find it.	de kommer inte att hitta det.
tom's brother is strong.	toms bror är stark.
she came near to drowning.	hon var nära på att drunkna.
why isn't that an option?	varför är det inget alternativ?
i speak swedish.	jag pratar svenska.
i'd like an earnest word with you.	jag skulle vilja få ett allvarsord med dig.
he sang a song.	han sjöng en sång.
tom seems nice.	tom verkar trevlig.
we're making breakfast.	vi lagar frukost.
you can sleep here tonight.	du kan sova här i natt.
originally, the word "löyly" meant soul.	ursprungligen betydde ordet ”löyly” själ.
try to convince him to help us.	försök att övertyga honom att hjälpa oss.
go along this street about five minutes.	följ den här gatan i ungefär fem minuter.
i have lived here since 1990.	jag har bott her sedan 1990.
i'm only here to help them.	jag är bara här för att hjälpa dem.
the room was dark.	rummet var mörkt.
i didn't see either tom or mary.	jag såg varken tom eller mary.
there's a comma missing.	det saknas ett komma.
i work here.	jag jobbar här.
i've never met anyone who taught themselves to play basketball just by reading a book; the same with foreign language.	jag har aldrig träffat någon som lärt sig spela basketboll endast genom att läsa en bok; det samma med främmande språk.
did you sleep ok?	sov du bra?
i saw the pictures.	jag såg bilderna.
mary combed her hair.	mary kammade sitt hår.
are you ready for halloween?	är du redo för halloween?
tom is very fit.	tom är mycket vältränad.
i want to contribute.	jag vill bidra.
do you have any classes this afternoon?	har du några lektioner i eftermiddag?
i don't get it.	jag fattar inte.
i'm satisfied.	jag är belåten.
the wagon accelerates to 80 kilometers per hour in 3 seconds.	vagnen accelererar till 80 kilometer i timmen på 3 sekunder.
she smoothed her hair.	hon rätade ut håret.
tom and mary are parents.	tom och mary är föräldrar.
there's absolutely no risk.	det är absolut riskfritt.
they're cannibals.	de är kannibaler.
the consequence was that she lost her job.	följden blev att hon förlorade jobbet.
i like to go and watch baseball games.	jag tycker om att gå och titta på baseboll.
i can walk home.	jag kan gå hem.
how do i eat this?	hur ska jag äta det här?
i've got company.	jag har sällskap.
we are what we eat.	vi är vad vi äter.
i'm all ears.	jag är idel öra.
has anyone seen my dog?	har någon sett min hund?
why did you buy this car?	varför köpte du den här bilen?
why are girls so complicated?	varför är tjejer så komplicerade?
ziri called.	ziri ringde.
is anybody home?	är någon hemma?
i told my mom everything.	jag berättade allt för mamma.
do you like quinoa?	gillar du quinoa?
i wanted to hire a coach.	jag ville anställa en tränare.
she was young and innocent.	hon var ung och oskyldig.
i really like this restaurant.	jag gillar verkligen denna restaurang.
if you want to talk, talk.	om du vill prata så prata.
which dog is yours?	vilken hund är din?
tom looked at the floor.	tom tittade på golvet.
it was his car, not mine, that broke down yesterday.	det var hans bil, och inte min, som gick sönder i går.
i'd like to sing a song.	jag skulle vilja sjunga en sång.
it's as if we had lost our identity.	det är som om vi hade förlorat vår identitet.
there was no one there.	det fanns ingen där.
the girl is drinking tea.	flickan dricker te.
what about jack?	jack då?
my flight was canceled.	mitt flyg var inställt.
i regret my decision.	jag ångrar mitt beslut.
i can get you there.	jag kan föra dig dit.
he tried to make me laugh.	han försökte få mig att skratta.
the trouble is that we have nowhere to stay tonight.	problemet är att vi inte har någonstans att vara ikväll.
yes, over there.	ja, där borta.
my cat sleeps with me.	min katt sover med mig.
we must try to break the deadlock.	vi måste försöka bryta dödläget.
it's time for cake.	det är dags för tårta.
did you read that?	läste du det där?
mosquitoes are insects.	myggor är insekter.
laughter is infectious.	skratt smittar av sig.
it was just a lucky guess.	det var bara en tursam gissning.
he caught 20 butterflies.	han fångade 20 fjärilar.
are you going to share that?	tänker du dela det där?
do you want me to tell you what i'm expecting?	vill du att jag ska säga vad jag förväntar mig?
the glass got broken.	glaset gick sönder.
i love him.	jag älskar honom.
i often played soccer when i was young.	jag spelade ofta fotboll när jag var ung.
tom won't be ready.	tom kommer inte att vara redo.
i need a book to read.	jag behöver en bok att läsa.
taking off is easier than landing.	det är lättare att lyfta än att landa.
what else can you do?	vad mer kan du göra?
he hopes he will visit paris.	han önskar att han kommer besöka paris.
i'm moving back home.	jag ska flytta tillbaka hem.
stay calm.	behåll lugnet.
tom asked mary to open the window.	tom bad maria att öppna fönstret.
i have a sailboat.	jag har en segelbåt.
i hate being stupid.	jag hatar att vara dum.
the house belongs to him.	huset tillhör honom.
i think that she will come.	jag tror att hon kommer.
why are you in a bad mood?	varför är du på dåligt humör?
last september she was in paris.	förra september var hon i paris.
what's the average life span in australia?	vad är medellivslängden i australien?
i just found it.	jag hittade den precis.
my pillow is waiting for me.	min kudde väntar på mig.
this was a good feeling.	detta var en skön känsla.
he brought her to our place.	han tog med henne till vårt ställe.
if i knew her name and address, i could write to her.	om jag visste hennes namn och adress kunde jag skriva till henne.
i know next to nothing.	jag vet knappt någonting alls.
they laid the carpet on the floor.	de lade ut mattan på golvet.
we shouldn't leave the matter unsettled.	vi borde inte lämna ärendet ouppklarat.
simply, i don't know what to say.	jag vet helt enkelt inte vad jag ska säga.
that's my wife.	det är min fru.
tom loves mary.	tom älskar mary.
what do you seek?	vad söker du?
who are you rooting for?	vilka hejar du på?
just give it a try.	gör ett försök bara.
tom said that he was homeless.	tom sade att han var hemlös.
where there's life, there's hope.	där det finns liv, finns det hopp.
tom was wearing gaiters.	tom hade på sig damasker.
it hurts.	det gör ont.
how should i explain that to tom?	hur ska jag förklara det för tom?
how fast did tom run?	hur fort sprang tom?
she acknowledged that she couldn't speak french.	hon erkände att hon inte kunde prata franska.
i've corrected it.	jag har rättat det.
tom quickly disappeared in the crowd.	tom försvann snabbt in i folkmassan.
mennad won't get mad.	mennad blir inte arg.
it's genuine.	det är äkta.
tom is lying.	tom ljuger.
i have a surprise for you.	jag har en överraskning åt er.
i haven't seen them anywhere.	jag har inte sett dem någonstans.
i don't know any blind men.	jag känner inga blinda män.
i don't want to play.	jag vill inte spela.
the pain was terrible.	smärtan var fruktansvärd.
you don't get it, do you?	du fattar inte, eller hur?
this is completely harmless.	detta är helt ofarligt.
don't take any chances.	ta inga risker.
tom refused to allow me to enter his room.	tom lät mig inte komma in i hans rum.
would you mind taking your shoes off?	skulle du kunna ta av dig skorna?
i have a half-sister.	jag har en halvsyster.
i like chess.	jag tycker om schack.
i am a berliner.	jag är berlinare.
while i was in the water, all my belongings were stolen.	medan jag var i vattnet stals alla mina ägodelar.
most of the policemen lost their jobs.	de flesta av poliserna förlorade jobbet.
tom is an american citizen.	tom är amerikansk medborgare.
my name is alex, but i prefer that you all call me augusto.	jag heter alex, men jag föredrar att ni kallar mig augusto.
no i'm not; you are!	nej, det är jag inte, utan du!
you shouldn't have lied to him about the baby.	ni borde inte ha ljugit för honom om babyn.
they were perfect.	de var perfekta.
everyone is equal before the law.	alla är lika inför lagen.
i'll go with you.	jag ska följa med dig.
i love this part.	jag älskar denna del.
i went to nagasaki.	jag åkte till nagasaki.
tom shouldn't even be here.	tom borde inte ens vara här.
he repaired the nets.	han reparerade näten.
what do we want here?	vad vill vi här?
tom thought that mary was exaggerating.	tom trodde att mary överdrev.
that house is the place where i was born.	det var i det huset som jag föddes i.
tom buttoned his shirt.	tom knäppte sin skjorta.
do you like orchids?	gillar du orkidéer?
manuscripts don't burn.	manuskript brinner inte.
the bishop took pity on the desperate immigrants.	biskopen förbarmade sig över de förtvivlade immigranterna.
i might stay.	jag stannar kanske.
it's my gift to you.	det är min gåva till dig.
he demands immediate payment.	han kräver omedelbar betalning.
are you sure you can trust tom?	är du säker på att du kan lita på tom?
john is good at chess.	john är bra på schack.
i love her.	jag älskar henne.
you don't have to do that now.	ni måste inte göra det där nu.
